time,seconds_elapsed,lux
1686155364736116200,1192.0921162109375,356
1686155364796571400,1192.1525712890625,358
1686155364857057300,1192.213057373047,361
1686155364978029000,1192.3340290527344,358
1686155365099000600,1192.4550004882813,363
1686155365159578000,1192.515578125,365
1686155365296724000,1192.6527238769531,361
1686155365417695700,1192.7736958007813,358
1686155365478181600,1192.834181640625,361
1686155365538636800,1192.89463671875,365
1686155365659608600,1193.0156086425782,363
1686155365857240300,1193.213240234375,368
1686155366038698000,1193.394697998047,372
1686155366220155400,1193.5761552734375,375
1686155366280641300,1193.636641357422,377
1686155366417695700,1193.7736958007813,375
1686155366478151200,1193.834151123047,372
1686155366720064000,1194.0760639648438,370
1686155367280554500,1194.6365544433593,372
1686155367341040000,1194.6970400390626,370
1686155367538641700,1194.8946416015624,372
1686155367599127300,1194.9551271972657,370
1686155367901587200,1195.257587158203,372
1686155368099280000,1195.4552797851563,368
1686155368280737500,1195.636737548828,365
1686155368341254000,1195.69725390625,368
1686155368401739800,1195.7577397460936,365
1686155368462256000,1195.8182561035155,370
1686155368522711300,1195.8787111816407,368
1686155368841131800,1196.1971318359374,372
1686155368962103600,1196.318103515625,375
1686155369022589200,1196.3785891113282,372
1686155369220221200,1196.5762211914061,382
1686155369280707000,1196.63670703125,379
1686155369401678600,1196.7576787109374,363
1686155369462164500,1196.8181645507811,356
1686155369522650400,1196.878650390625,349
1686155369583105800,1196.9391057128905,351
1686155369643622100,1196.9996220703124,356
1686155369780798500,1197.1367985839843,375
1686155369901770200,1197.2577702636718,379
1686155369962256100,1197.3182561035155,396
1686155370022742000,1197.3787419433593,407
1686155370083197200,1197.439197265625,424
1686155370143957800,1197.4999577636718,449
1686155370204443600,1197.5604436035155,440
1686155370341589500,1197.6975895996093,410
1686155370402075400,1197.758075439453,407
1686155370462561300,1197.8185612792968,405
1686155370523047200,1197.8790471191405,398
1686155370704352000,1198.0603520507811,393
1686155370764807400,1198.1208073730468,391
1686155370901922800,1198.2579228515624,389
1686155371022894600,1198.37889453125,391
1686155371143957800,1198.4999577636718,389
1686155371462439200,1198.8184392089843,384
1686155371583380200,1198.9393801269532,382
1686155371643957800,1198.9999577636718,379
1686155371704443600,1199.0604436035155,375
1686155371825445600,1199.1814455566407,368
1686155371885931500,1199.241931640625,365
1686155372023138600,1199.379138671875,354
1686155372083655000,1199.4396550292968,347
1686155372144140800,1199.5001408691405,342
1686155372204626700,1199.5606267089843,335
1686155372265143000,1199.6211430664061,342
1686155372325629000,1199.68162890625,349
1686155372386145300,1199.7421452636718,361
1686155372446631200,1199.8026311035155,356
1686155372583807500,1199.939807373047,344
1686155372644263000,1200.000262939453,347
1686155372704687600,1200.0606875,344
1686155372765143000,1200.1211430664061,349
1686155372825567700,1200.1815676269532,351
1686155372886023200,1200.2420231933593,347
1686155372946478600,1200.302478515625,349
1686155373143927300,1200.4999272460936,351
1686155373204413000,1200.560412841797,349
1686155373264868400,1200.620868408203,347
1686155373325354200,1200.6813542480468,349
1686155373446325800,1200.8023256835938,351
1686155373506781200,1200.86278125,347
1686155373704565500,1201.0605654296876,344
1686155373765021000,1201.1210209960936,349
1686155373825506800,1201.1815068359374,344
1686155373885931500,1201.241931640625,347
1686155373946387000,1201.3023869628905,351
1686155374006811600,1201.362811767578,349
1686155374127753000,1201.4837529296874,351
1686155374627753000,1201.9837529296874,347
1686155374825384700,1202.181384765625,342
1686155374885870600,1202.2418706054686,347
1686155374946356500,1202.3023564453124,354
1686155375006842000,1202.3628420410157,349
1686155375067328000,1202.4233278808595,344
1686155375127814000,1202.4838139648436,342
1686155375188299800,1202.5442998046874,337
1686155375385901000,1202.7419011230468,340
1686155375506842000,1202.8628420410157,337
1686155375567328000,1202.9233278808595,342
1686155375627814000,1202.9838139648436,337
1686155376067389200,1203.4233891601561,335
1686155376628332800,1203.9843327636718,333
1686155376688818400,1204.044818359375,335
1686155376749304300,1204.1053041992188,333
1686155376870184400,1204.226184326172,335
1686155376930676700,1204.2866767578125,333
1686155377128369700,1204.4843696289063,335
1686155377309888000,1204.6658879394531,333
1686155377370374000,1204.7263737792969,335
1686155377628400000,1204.9844001464844,333
1686155377749310700,1205.1053107910157,335
1686155377991315200,1205.347315185547,330
1686155378051800800,1205.40780078125,335
1686155378189038600,1205.5450385742188,333
1686155378491437000,1205.8474370117187,330
1686155379173627100,1206.5296271972657,328
1686155379310864600,1206.6668647460938,326
1686155379371350500,1206.7273505859375,328
1686155379431836400,1206.7878364257813,326
1686155379613233000,1206.9692329101563,328
1686155379673718800,1207.02971875,349
1686155379734204400,1207.0902043457031,354
1686155379871350500,1207.2273505859375,351
1686155379931805700,1207.2878056640625,349
1686155379992291600,1207.3482915039062,344
1686155380052808000,1207.4088078613281,342
1686155380173779700,1207.5297797851563,340
1686155380234265600,1207.590265625,342
1686155380431958500,1207.7879584960938,344
1686155380492413700,1207.8484135742187,342
